id,support,acc_05,f1_05,acc_tuned,f1_tuned
361,32,0.75,0.6363636363636364,0.75,0.6363636363636364
784,32,0.65625,0.56,0.65625,0.56
395,32,0.6875,0.5,0.6875,0.5
394,32,0.78125,0.6956521739130435,0.78125,0.6956521739130435
101,32,0.625,0.5,0.625,0.5
745,32,0.625,0.5384615384615384,0.625,0.5384615384615384
393,32,0.65625,0.47619047619047616,0.65625,0.47619047619047616
392,32,0.71875,0.5263157894736842,0.71875,0.5263157894736842
749,32,0.71875,0.5263157894736842,0.71875,0.5263157894736842
391,32,0.78125,0.6956521739130435,0.78125,0.6956521739130435
51,32,0.8125,0.7272727272727273,0.8125,0.7272727272727273
753,32,0.71875,0.5263157894736842,0.71875,0.5263157894736842
755,32,0.6875,0.5454545454545454,0.6875,0.5454545454545454
757,32,0.75,0.6,0.75,0.6
390,32,0.625,0.3333333333333333,0.625,0.3333333333333333
762,32,0.65625,0.47619047619047616,0.65625,0.47619047619047616
783,32,0.625,0.45454545454545453,0.625,0.45454545454545453
766,32,0.6875,0.5,0.6875,0.5
767,32,0.71875,0.5714285714285714,0.71875,0.5714285714285714
769,32,0.5625,0.4166666666666667,0.5625,0.4166666666666667
370,32,0.78125,0.6666666666666666,0.78125,0.6666666666666666
771,32,0.78125,0.6956521739130435,0.78125,0.6956521739130435
774,32,0.75,0.6363636363636364,0.75,0.6363636363636364
731,32,0.8125,0.7,0.8125,0.7
399,32,0.6875,0.5,0.6875,0.5
400,32,0.6875,0.5454545454545454,0.6875,0.5454545454545454
86,32,0.75,0.6,0.75,0.6
417,32,0.71875,0.64,0.71875,0.64
98,32,0.71875,0.5714285714285714,0.71875,0.5714285714285714
278,32,0.8125,0.7272727272727273,0.8125,0.7272727272727273
804,32,0.8125,0.7,0.8125,0.7
8,32,0.75,0.6363636363636364,0.75,0.6363636363636364
93,32,0.8125,0.7,0.8125,0.7
799,32,0.78125,0.6666666666666666,0.78125,0.6666666666666666
288,32,0.8125,0.7272727272727273,0.8125,0.7272727272727273
401,32,0.78125,0.6666666666666666,0.78125,0.6666666666666666
694,32,0.78125,0.6666666666666666,0.78125,0.6666666666666666
85,32,0.75,0.6,0.75,0.6
798,32,0.78125,0.6666666666666666,0.78125,0.6666666666666666
82,32,0.6875,0.5454545454545454,0.6875,0.5454545454545454
81,32,0.96875,0.9565217391304348,0.96875,0.9565217391304348
404,32,0.71875,0.5714285714285714,0.71875,0.5714285714285714
78,32,0.75,0.6923076923076923,0.75,0.6923076923076923
293,32,0.6875,0.5454545454545454,0.6875,0.5454545454545454
705,32,0.71875,0.6086956521739131,0.71875,0.6086956521739131
403,32,0.71875,0.5263157894736842,0.71875,0.5263157894736842
780,32,0.78125,0.72,0.78125,0.72
482,24,0.7083333333333334,0.36363636363636365,0.7083333333333334,0.36363636363636365
353,24,0.7083333333333334,0.5882352941176471,0.7083333333333334,0.5882352941176471
487,24,0.625,0.5714285714285714,0.625,0.5714285714285714
349,24,0.7916666666666666,0.2857142857142857,0.7916666666666666,0.2857142857142857
358,24,0.9583333333333334,0.9411764705882353,0.9583333333333334,0.9411764705882353
421,24,0.9166666666666666,0.8571428571428571,0.9166666666666666,0.8571428571428571
379,24,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.6666666666666666
386,24,0.625,0.5263157894736842,0.625,0.5263157894736842
388,24,0.625,0.5263157894736842,0.625,0.5263157894736842
396,24,0.5,0.45454545454545453,0.5,0.45454545454545453
468,24,0.75,0.7,0.75,0.7
397,24,0.5416666666666666,0.47619047619047616,0.5416666666666666,0.47619047619047616
402,24,1.0,1.0,1.0,1.0
405,24,1.0,1.0,1.0,1.0
406,24,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.5555555555555556
407,24,0.625,0.47058823529411764,0.625,0.47058823529411764
409,24,0.625,0.47058823529411764,0.625,0.47058823529411764
412,24,0.7083333333333334,0.5882352941176471,0.7083333333333334,0.5882352941176471
438,24,0.5416666666666666,0.56,0.5416666666666666,0.56
437,24,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
426,24,0.5416666666666666,0.47619047619047616,0.5416666666666666,0.47619047619047616
387,24,0.625,0.5263157894736842,0.625,0.5263157894736842
566,24,1.0,1.0,1.0,1.0
496,24,0.625,0.5714285714285714,0.625,0.5714285714285714
704,24,0.625,0.5714285714285714,0.625,0.5714285714285714
735,24,0.7083333333333334,0.631578947368421,0.7083333333333334,0.631578947368421
729,24,0.75,0.7,0.75,0.7
728,24,0.7083333333333334,0.631578947368421,0.7083333333333334,0.631578947368421
716,24,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.6666666666666666
714,24,0.625,0.5714285714285714,0.625,0.5714285714285714
706,24,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.5555555555555556
703,24,0.625,0.5263157894736842,0.625,0.5263157894736842
675,24,1.0,1.0,1.0,1.0
700,24,0.5833333333333334,0.5,0.5833333333333334,0.5
691,24,0.625,0.5263157894736842,0.625,0.5263157894736842
687,24,0.6666666666666666,0.6,0.6666666666666666,0.6
685,24,0.625,0.5263157894736842,0.625,0.5263157894736842
682,24,0.9583333333333334,0.9090909090909091,0.9583333333333334,0.9090909090909091
681,24,1.0,0.0,1.0,0.0
737,24,0.625,0.5714285714285714,0.625,0.5714285714285714
738,24,0.625,0.5263157894736842,0.625,0.5263157894736842
739,24,0.5833333333333334,0.5454545454545454,0.5833333333333334,0.5454545454545454
746,24,0.5833333333333334,0.375,0.5833333333333334,0.375
748,24,0.7083333333333334,0.631578947368421,0.7083333333333334,0.631578947368421
750,24,0.6666666666666666,0.6,0.6666666666666666,0.6
759,24,0.625,0.47058823529411764,0.625,0.47058823529411764
764,24,0.875,0.0,0.875,0.0
770,24,0.4583333333333333,0.23529411764705882,0.4583333333333333,0.23529411764705882
779,24,0.5833333333333334,0.5,0.5833333333333334,0.5
781,24,0.625,0.5714285714285714,0.625,0.5714285714285714
782,24,0.625,0.5714285714285714,0.625,0.5714285714285714
786,24,0.5833333333333334,0.5454545454545454,0.5833333333333334,0.5454545454545454
790,24,0.6666666666666666,0.5,0.6666666666666666,0.5
797,24,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.6666666666666666
801,24,0.75,0.7,0.75,0.7
805,24,0.6666666666666666,0.5,0.6666666666666666,0.5
678,24,0.6666666666666666,0.6,0.6666666666666666,0.6
671,24,1.0,1.0,1.0,1.0
502,24,1.0,1.0,1.0,1.0
537,24,0.9583333333333334,0.9090909090909091,0.9583333333333334,0.9090909090909091
562,24,0.625,0.5714285714285714,0.625,0.5714285714285714
559,24,0.5416666666666666,0.5217391304347826,0.5416666666666666,0.5217391304347826
558,24,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.8333333333333334
555,24,0.75,0.7,0.75,0.7
552,24,0.75,0.7,0.75,0.7
538,24,0.5833333333333334,0.4444444444444444,0.5833333333333334,0.4444444444444444
536,24,0.625,0.5714285714285714,0.625,0.5714285714285714
664,24,0.7083333333333334,0.631578947368421,0.7083333333333334,0.631578947368421
530,24,0.625,0.47058823529411764,0.625,0.47058823529411764
529,24,1.0,1.0,1.0,1.0
515,24,0.75,0.7,0.75,0.7
512,24,0.75,0.75,0.75,0.75
510,24,0.9583333333333334,0.9411764705882353,0.9583333333333334,0.9411764705882353
509,24,0.75,0.75,0.75,0.75
564,24,1.0,1.0,1.0,1.0
342,24,0.7083333333333334,0.6956521739130435,0.7083333333333334,0.6956521739130435
573,24,0.9583333333333334,0.9090909090909091,0.9583333333333334,0.9090909090909091
592,24,1.0,1.0,1.0,1.0
598,24,0.6666666666666666,0.6,0.6666666666666666,0.6
604,24,0.625,0.5263157894736842,0.625,0.5263157894736842
605,24,1.0,1.0,1.0,1.0
608,24,0.75,0.7272727272727273,0.75,0.7272727272727273
616,24,0.625,0.47058823529411764,0.625,0.47058823529411764
619,24,0.6666666666666666,0.6,0.6666666666666666,0.6
625,24,0.75,0.7272727272727273,0.75,0.7272727272727273
630,24,0.625,0.47058823529411764,0.625,0.47058823529411764
631,24,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.5555555555555556
632,24,0.7083333333333334,0.5882352941176471,0.7083333333333334,0.5882352941176471
635,24,0.75,0.7,0.75,0.7
640,24,1.0,1.0,1.0,1.0
642,24,0.7083333333333334,0.72,0.7083333333333334,0.72
345,24,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
808,24,0.7083333333333334,0.5882352941176471,0.7083333333333334,0.5882352941176471
337,24,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
213,24,0.7083333333333334,0.6956521739130435,0.7083333333333334,0.6956521739130435
210,24,0.5,0.5384615384615384,0.5,0.5384615384615384
209,24,0.9583333333333334,0.9230769230769231,0.9583333333333334,0.9230769230769231
208,24,0.9583333333333334,0.9230769230769231,0.9583333333333334,0.9230769230769231
206,24,0.5416666666666666,0.42105263157894735,0.5416666666666666,0.42105263157894735
201,24,0.6666666666666666,0.6,0.6666666666666666,0.6
192,24,0.7083333333333334,0.6956521739130435,0.7083333333333334,0.6956521739130435
191,24,0.9583333333333334,0.9230769230769231,0.9583333333333334,0.9230769230769231
184,24,0.5416666666666666,0.5217391304347826,0.5416666666666666,0.5217391304347826
183,24,0.9583333333333334,0.9230769230769231,0.9583333333333334,0.9230769230769231
181,24,0.5833333333333334,0.6153846153846154,0.5833333333333334,0.6153846153846154
180,24,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
178,24,0.5416666666666666,0.47619047619047616,0.5416666666666666,0.47619047619047616
173,24,0.5416666666666666,0.5217391304347826,0.5416666666666666,0.5217391304347826
168,24,0.9583333333333334,0.9230769230769231,0.9583333333333334,0.9230769230769231
163,24,1.0,1.0,1.0,1.0
211,24,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.6363636363636364
215,24,1.0,1.0,1.0,1.0
254,24,0.6666666666666666,0.6923076923076923,0.6666666666666666,0.6923076923076923
216,24,0.7083333333333334,0.6956521739130435,0.7083333333333334,0.6956521739130435
251,24,0.9166666666666666,0.8,0.9166666666666666,0.8
250,24,0.75,0.7272727272727273,0.75,0.7272727272727273
240,24,0.625,0.5263157894736842,0.625,0.5263157894736842
238,24,0.9166666666666666,0.8,0.9166666666666666,0.8
234,24,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.6363636363636364
231,24,1.0,1.0,1.0,1.0
230,24,0.7083333333333334,0.6956521739130435,0.7083333333333334,0.6956521739130435
228,24,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.6363636363636364
227,24,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
224,24,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
223,24,0.9583333333333334,0.9090909090909091,0.9583333333333334,0.9090909090909091
222,24,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
221,24,0.75,0.7272727272727273,0.75,0.7272727272727273
218,24,1.0,1.0,1.0,1.0
217,24,0.75,0.7272727272727273,0.75,0.7272727272727273
158,24,1.0,1.0,1.0,1.0
153,24,1.0,1.0,1.0,1.0
147,24,1.0,1.0,1.0,1.0
144,24,0.5833333333333334,0.5,0.5833333333333334,0.5
63,24,0.6666666666666666,0.6,0.6666666666666666,0.6
61,24,0.5,0.3333333333333333,0.5,0.3333333333333333
57,24,1.0,1.0,1.0,1.0
53,24,0.75,0.7272727272727273,0.75,0.7272727272727273
52,24,1.0,1.0,1.0,1.0
48,24,1.0,1.0,1.0,1.0
46,24,0.9583333333333334,0.9333333333333333,0.9583333333333334,0.9333333333333333
34,24,0.6666666666666666,0.6,0.6666666666666666,0.6
27,24,0.7083333333333334,0.6956521739130435,0.7083333333333334,0.6956521739130435
23,24,0.9166666666666666,0.875,0.9166666666666666,0.875
18,24,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.6666666666666666
14,24,0.7916666666666666,0.7619047619047619,0.7916666666666666,0.7619047619047619
11,24,1.0,1.0,1.0,1.0
9,24,0.625,0.5263157894736842,0.625,0.5263157894736842
5,24,0.625,0.5263157894736842,0.625,0.5263157894736842
65,24,1.0,1.0,1.0,1.0
67,24,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.6363636363636364
68,24,0.9583333333333334,0.9333333333333333,0.9583333333333334,0.9333333333333333
94,24,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.6666666666666666
131,24,0.75,0.7272727272727273,0.75,0.7272727272727273
124,24,0.625,0.5263157894736842,0.625,0.5263157894736842
114,24,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.6666666666666666
112,24,0.625,0.64,0.625,0.64
102,24,0.625,0.5714285714285714,0.625,0.5714285714285714
100,24,0.6666666666666666,0.6,0.6666666666666666,0.6
92,24,1.0,1.0,1.0,1.0
72,24,1.0,1.0,1.0,1.0
90,24,0.7083333333333334,0.631578947368421,0.7083333333333334,0.631578947368421
89,24,1.0,1.0,1.0,1.0
87,24,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
79,24,0.625,0.6086956521739131,0.625,0.6086956521739131
75,24,0.6666666666666666,0.6,0.6666666666666666,0.6
74,24,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.5555555555555556
253,24,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.6666666666666666
169,24,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.8333333333333334
311,24,0.7083333333333334,0.5882352941176471,0.7083333333333334,0.5882352941176471
330,24,0.625,0.5714285714285714,0.625,0.5714285714285714
326,24,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.6666666666666666
276,24,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.6363636363636364
281,24,0.7083333333333334,0.6956521739130435,0.7083333333333334,0.6956521739130435
265,24,0.7916666666666666,0.782608695652174,0.7916666666666666,0.782608695652174
325,24,0.7916666666666666,0.7619047619047619,0.7916666666666666,0.7619047619047619
284,24,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.6363636363636364
285,24,0.7083333333333334,0.631578947368421,0.7083333333333334,0.631578947368421
287,24,1.0,1.0,1.0,1.0
324,24,0.7083333333333334,0.6956521739130435,0.7083333333333334,0.6956521739130435
331,24,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.6363636363636364
297,24,0.75,0.7,0.75,0.7
299,24,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.6666666666666666
302,24,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.5555555555555556
304,24,1.0,1.0,1.0,1.0
321,24,0.75,0.7272727272727273,0.75,0.7272727272727273
262,24,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.6666666666666666
319,24,1.0,1.0,1.0,1.0
317,24,1.0,1.0,1.0,1.0
314,24,0.9583333333333334,0.9090909090909091,0.9583333333333334,0.9090909090909091
310,24,1.0,1.0,1.0,1.0
