id,ps,dprime_h,dprime_s,n_signal,n_noise,mean_H|S,mean_H|N,mean_S|S,mean_S|N,sd_H|S,sd_H|N,sd_S|S,sd_S|N,abs_err_H|S,abs_err_H|N,abs_err_S|S,abs_err_S|N
63,0.2,1.5,1.9,24,96,0.7500000000000001,-0.75,0.9499999999999998,-0.9499999999999998,1.1004970467625734,1.1267541701307917,0.7386359447384827,0.992716626720004,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16
64,0.2,1.5,2.1,24,96,0.7500000000000001,-0.7500000000000001,1.05,-1.05,0.8823042618403839,0.9345512883525178,0.9344215113765288,1.0502841028302892,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0
65,0.2,1.5,2.3,24,96,0.75,-0.75,1.1499999999999997,-1.1499999999999997,0.9387764561542066,0.9883606269117748,0.7698524791036089,1.077473812581867,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
66,0.2,1.5,2.5,24,96,0.75,-0.75,1.25,-1.2499999999999998,0.907331846268158,1.0382288972495595,0.7807334993664352,1.06156815168819,0.0,0.0,0.0,2.220446049250313e-16
67,0.2,1.7,0.5,24,96,0.8499999999999998,-0.85,0.25,-0.25,0.9689313048289108,1.0204020425395925,0.8185339836731568,0.9801588884230974,2.220446049250313e-16,0.0,0.0,0.0
68,0.2,1.7,0.7,24,96,0.8499999999999998,-0.85,0.34999999999999987,-0.3499999999999999,1.1356807856973756,0.9929083027143989,1.1101249593602927,1.0280423999115214,2.220446049250313e-16,0.0,1.1102230246251565e-16,5.551115123125783e-17
69,0.2,1.7,0.9,24,96,0.8500000000000001,-0.8500000000000002,0.45,-0.44999999999999996,1.1178494021580858,0.9578614985135567,1.1502200191389516,0.9487319164715617,1.1102230246251565e-16,2.220446049250313e-16,0.0,5.551115123125783e-17
70,0.2,1.7,1.1,24,96,0.85,-0.85,0.5499999999999999,-0.5500000000000002,0.963322124730484,1.0169289106475716,0.8548004710776191,1.0094857250624407,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16
71,0.2,1.7,1.3,24,96,0.8500000000000001,-0.85,0.6500000000000001,-0.65,0.849092739586503,1.1207431209444716,0.982117073666125,1.0348995337767994,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0
72,0.2,1.7,1.5,24,96,0.85,-0.8500000000000001,0.75,-0.75,0.8821764562064282,0.9986216857718964,0.8534824623399418,0.9268452316347553,0.0,1.1102230246251565e-16,0.0,0.0
73,0.2,1.7,1.7,24,96,0.8500000000000001,-0.8500000000000001,0.85,-0.8500000000000001,1.2111045154832831,1.0355161211129078,0.7053594076220768,0.9163895631491579,1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16
74,0.2,1.7,1.9,24,96,0.85,-0.85,0.9499999999999997,-0.9500000000000001,0.8709561567048781,0.9485584275001246,1.1195419037807934,0.9173488094555394,0.0,0.0,2.220446049250313e-16,1.1102230246251565e-16
75,0.2,1.7,2.1,24,96,0.85,-0.85,1.05,-1.05,0.9000439807238365,0.8975156629015175,0.8379543163067292,1.0260923420673091,0.0,0.0,0.0,0.0
76,0.2,1.7,2.3,24,96,0.85,-0.85,1.1499999999999997,-1.15,1.0320018964803521,0.9446514294082992,0.9511586264802121,0.9967490024928355,0.0,0.0,2.220446049250313e-16,0.0
77,0.2,1.7,2.5,24,96,0.85,-0.85,1.2500000000000002,-1.2500000000000002,0.8487321407998345,0.8844518358084664,0.6292275511565987,0.8974028637760165,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
